substituent,SMILES for benzoic,SMILES for benzoate,Hammett Constant,SMILE Substituent,Isomer,Charge_acid,Multi_acid,Charge_benzoate,Multi_benzoate
N+(Me)=CHN(Me)- -m,O=C(O)C1=CC=CC([N+](=C[N-]C)C)=C1,O=C([O-])C1=CC=CC([N+](=C[N-]C)C)=C1,1.11,[N+](=C[N-]C)C,1,0,1,-1,1
N+(Me)=CHN(Me)- -p,O=C(O)C1=CC=C([N+](=C[N-]C)C)C=C1,O=C([O-])C1=CC=C([N+](=C[N-]C)C)C=C1,1.11,[N+](=C[N-]C)C,2,0,1,-1,1
NHCONHEt-m,O=C(O)C1=CC=CC([NH]C(=O)NCC)=C1,O=C([O-])C1=CC=CC([NH]C(=O)NCC)=C1,0.04,[NH]C(=O)NCC,1,0,1,-1,1
NHCONHEt-p,O=C(O)C1=CC=C([NH]C(=O)NCC)C=C1,O=C([O-])C1=CC=C([NH]C(=O)NCC)C=C1,-0.26,[NH]C(=O)NCC,2,0,1,-1,1
NHCSNHEt-m,O=C(O)C1=CC=CC([NH]C(=S)NCC)=C1,O=C([O-])C1=CC=CC([NH]C(=S)NCC)=C1,0.3,[NH]C(=S)NCC,1,0,1,-1,1
NHCSNHEt-p,O=C(O)C1=CC=C([NH]C(=S)NCC)C=C1,O=C([O-])C1=CC=C([NH]C(=S)NCC)C=C1,0.07,[NH]C(=S)NCC,2,0,1,-1,1
OCHMe2-m,O=C(O)C1=CC=CC([O]C(C)C)=C1,O=C([O-])C1=CC=CC([O]C(C)C)=C1,0.1,[O]C(C)C,1,0,1,-1,1
OCHMe2-p,O=C(O)C1=CC=C([O]C(C)C)C=C1,O=C([O-])C1=CC=C([O]C(C)C)C=C1,-0.45,[O]C(C)C,2,0,1,-1,1
CH2CH(OH)Me-m,O=C(O)C1=CC=CC([CH2]C(C)O)=C1,O=C([O-])C1=CC=CC([CH2]C(C)O)=C1,-0.12,[CH2]C(C)O,1,0,1,-1,1
CH2CH(OH)Me-p,O=C(O)C1=CC=C([CH2]C(C)O)C=C1,O=C([O-])C1=CC=C([CH2]C(C)O)C=C1,-0.17,[CH2]C(C)O,2,0,1,-1,1
C(OOH)Me2-m,O=C(O)C1=CC=CC([C](OO)(C)C)=C1,O=C([O-])C1=CC=CC([C](OO)(C)C)=C1,0.06,[C](OO)(C)C,1,0,1,-1,1
C(OOH)Me2-p,O=C(O)C1=CC=C([C](OO)(C)C)C=C1,O=C([O-])C1=CC=C([C](OO)(C)C)C=C1,-0.14,[C](OO)(C)C,2,0,1,-1,1
SCHMe2-m,O=C(O)C1=CC=CC([S]C(C)C)=C1,O=C([O-])C1=CC=CC([S]C(C)C)=C1,0.23,[S]C(C)C,1,0,1,-1,1
SCHMe2-p,O=C(O)C1=CC=C([S]C(C)C)C=C1,O=C([O-])C1=CC=C([S]C(C)C)C=C1,0.07,[S]C(C)C,2,0,1,-1,1
CH2NMe2-m,O=C(O)C1=CC=CC([CH2]N(C)C)=C1,O=C([O-])C1=CC=CC([CH2]N(C)C)=C1,0,[CH2]N(C)C,1,0,1,-1,1
CH2NMe2-p,O=C(O)C1=CC=C([CH2]N(C)C)C=C1,O=C([O-])C1=CC=C([CH2]N(C)C)C=C1,0.01,[CH2]N(C)C,2,0,1,-1,1
GeMe3-m,O=C(O)C1=CC=CC([Ge](C)(C)C)=C1,O=C([O-])C1=CC=CC([Ge](C)(C)C)=C1,0,[Ge](C)(C)C,1,0,1,-1,1
GeMe3-p,O=C(O)C1=CC=C([Ge](C)(C)C)C=C1,O=C([O-])C1=CC=C([Ge](C)(C)C)C=C1,0,[Ge](C)(C)C,2,0,1,-1,1
N+(Me)3-m,O=C(O)C1=CC=CC([N+](C)(C)C)=C1,O=C([O-])C1=CC=CC([N+](C)(C)C)=C1,0.88,[N+](C)(C)C,1,0,1,-1,1
N+(Me)3-p,O=C(O)C1=CC=C([N+](C)(C)C)C=C1,O=C([O-])C1=CC=C([N+](C)(C)C)C=C1,0.82,[N+](C)(C)C,2,0,1,-1,1
CH2NH+(Me)2-m,O=C(O)C1=CC=CC([CH2][NH+](C)C)=C1,O=C([O-])C1=CC=CC([CH2][NH+](C)C)=C1,0.4,[CH2][NH+](C)C,1,1,1,0,1
CH2NH+(Me)2-p,O=C(O)C1=CC=C([CH2][NH+](C)C)C=C1,O=C([O-])C1=CC=C([CH2][NH+](C)C)C=C1,0.43,[CH2][NH+](C)C,2,1,1,0,1
Si(Me)2OMe-m,O=C(O)C1=CC=CC([Si](C)(C)OC)=C1,O=C([O-])C1=CC=CC([Si](C)(C)OC)=C1,0.04,[Si](C)(C)OC,1,0,1,-1,1
Si(Me)2OMe-p,O=C(O)C1=CC=C([Si](C)(C)OC)C=C1,O=C([O-])C1=CC=C([Si](C)(C)OC)C=C1,-0.02,[Si](C)(C)OC,2,0,1,-1,1
OSiMe3-m,O=C(O)C1=CC=CC([O][Si](C)(C)C)=C1,O=C([O-])C1=CC=CC([O][Si](C)(C)C)=C1,0.13,[O][Si](C)(C)C,1,0,1,-1,1
OSiMe3-p,O=C(O)C1=CC=C([O][Si](C)(C)C)C=C1,O=C([O-])C1=CC=C([O][Si](C)(C)C)C=C1,-0.27,[O][Si](C)(C)C,2,0,1,-1,1
SiMe(OMe)2-m,O=C(O)C1=CC=CC([Si](C)(OC)OC)=C1,O=C([O-])C1=CC=CC([Si](C)(OC)OC)=C1,0.04,[Si](C)(OC)OC,1,0,1,-1,1
SiMe(OMe)2-m,O=C(O)C1=CC=C([Si](C)(OC)OC)C=C1,O=C([O-])C1=CC=C([Si](C)(OC)OC)C=C1,0.1,[Si](C)(OC)OC,2,0,1,-1,1
Si(OMe)3-m,O=C(O)C1=CC=CC([Si](OC)(OC)OC)=C1,O=C([O-])C1=CC=CC([Si](OC)(OC)OC)=C1,0.09,[Si](OC)(OC)OC,1,0,1,-1,1
Si(OMe)3-p,O=C(O)C1=CC=C([Si](OC)(OC)OC)C=C1,O=C([O-])C1=CC=C([Si](OC)(OC)OC)C=C1,0.13,[Si](OC)(OC)OC,2,0,1,-1,1
P+Me3-m,O=C(O)C1=CC=CC([P+](C)(C)C)=C1,O=C([O-])C1=CC=CC([P+](C)(C)C)=C1,0.74,[P+](C)(C)C,1,1,1,0,1
P+Me3-p,O=C(O)C1=CC=C([P+](C)(C)C)C=C1,O=C([O-])C1=CC=C([P+](C)(C)C)C=C1,0.73,[P+](C)(C)C,2,1,1,0,1
SiMe3-m,O=C(O)C1=CC=CC([Si](C)(C)C)=C1,O=C([O-])C1=CC=CC([Si](C)(C)C)=C1,-0.04,[Si](C)(C)C,1,0,1,-1,1
SiMe3-p,O=C(O)C1=CC=C([Si](C)(C)C)C=C1,O=C([O-])C1=CC=C([Si](C)(C)C)C=C1,-0.07,[Si](C)(C)C,2,0,1,-1,1
SnMe3-m,O=C(O)C1=CC=CC([Sn](C)(C)C)=C1,O=C([O-])C1=CC=CC([Sn](C)(C)C)=C1,0,[Sn](C)(C)C,1,0,1,-1,1
SnMe3-m,O=C(O)C1=CC=C([Sn](C)(C)C)C=C1,O=C([O-])C1=CC=C([Sn](C)(C)C)C=C1,0,[Sn](C)(C)C,2,0,1,-1,1
I(OCOCF3)2-m,O=C(O)C1=CC=CC([I](OC(=O)C(F)(F)F)OC(=O)C(F)(F)F)=C1,O=C([O-])C1=CC=CC([I](OC(=O)C(F)(F)F)OC(=O)C(F)(F)F)=C1,1.28,[I](OC(=O)C(F)(F)F)OC(=O)C(F)(F)F,1,0,1,-1,1
I(OCOCF3)2-p,O=C(O)C1=CC=C([I](OC(=O)C(F)(F)F)OC(=O)C(F)(F)F)C=C1,O=C([O-])C1=CC=C([I](OC(=O)C(F)(F)F)OC(=O)C(F)(F)F)C=C1,1.34,[I](OC(=O)C(F)(F)F)OC(=O)C(F)(F)F,2,0,1,-1,1
cyclo-C4F7-m,O=C(O)C1=CC=CC([C]2(C(C(C2(F)F)(F)F)(F)F)F)=C1,O=C([O-])C1=CC=CC([C]2(C(C(C2(F)F)(F)F)(F)F)F)=C1,0.48,[C]1(C(C(C1(F)F)(F)F)(F)F)F,1,0,1,-1,1
cyclo-C4F7-p,O=C(O)C1=CC=C([C]2(C(C(C2(F)F)(F)F)(F)F)F)C=C1,O=C([O-])C1=CC=C([C]2(C(C(C2(F)F)(F)F)(F)F)F)C=C1,0.53,[C]1(C(C(C1(F)F)(F)F)(F)F)F,2,0,1,-1,1
COCF2CF2CF3-m,O=C(O)C1=CC=CC([C](=O)C(F)(F)C(F)(F)C(F)(F)F)=C1,O=C([O-])C1=CC=CC([C](=O)C(F)(F)C(F)(F)C(F)(F)F)=C1,0.63,[C](=O)C(F)(F)C(F)(F)C(F)(F)F,1,0,1,-1,1
COCF2CF2CF3-p,O=C(O)C1=CC=C([C](=O)C(F)(F)C(F)(F)C(F)(F)F)C=C1,O=C([O-])C1=CC=C([C](=O)C(F)(F)C(F)(F)C(F)(F)F)C=C1,0.79,[C](=O)C(F)(F)C(F)(F)C(F)(F)F,2,0,1,-1,1
C(CF3)3-m,O=C(O)C1=CC=CC([C](C(F)(F)F)(C(F)(F)F)C(F)(F)F)=C1,O=C([O-])C1=CC=CC([C](C(F)(F)F)(C(F)(F)F)C(F)(F)F)=C1,0.55,[C](C(F)(F)F)(C(F)(F)F)C(F)(F)F,1,0,1,-1,1
C(CF3)3-p,O=C(O)C1=CC=C([C](C(F)(F)F)(C(F)(F)F)C(F)(F)F)C=C1,O=C([O-])C1=CC=C([C](C(F)(F)F)(C(F)(F)F)C(F)(F)F)C=C1,0.55,[C](C(F)(F)F)(C(F)(F)F)C(F)(F)F,2,0,1,-1,1
(CF2)3CF3-m,O=C(O)C1=CC=CC([C](C(C(C(F)(F)F)(F)F)(F)F)(F)F)=C1,O=C([O-])C1=CC=CC([C](C(C(C(F)(F)F)(F)F)(F)F)(F)F)=C1,0.47,[C](C(C(C(F)(F)F)(F)F)(F)F)(F)F,1,0,1,-1,1
(CF2)3CF3-p,O=C(O)C1=CC=C([C](C(C(C(F)(F)F)(F)F)(F)F)(F)F)C=C1,O=C([O-])C1=CC=C([C](C(C(C(F)(F)F)(F)F)(F)F)(F)F)C=C1,0.52,[C](C(C(C(F)(F)F)(F)F)(F)F)(F)F,2,0,1,-1,1
SO2C(CF3)3-m,O=C(O)C1=CC=CC([S](=O)(=O)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)=C1,O=C([O-])C1=CC=CC([S](=O)(=O)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)=C1,0.96,[S](=O)(=O)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F,1,0,1,-1,1
SO2C(CF3)3-p,O=C(O)C1=CC=C([S](=O)(=O)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)C=C1,O=C([O-])C1=CC=C([S](=O)(=O)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)C=C1,1.13,[S](=O)(=O)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F,2,0,1,-1,1
SC(CF3)3-m,O=C(O)C1=CC=CC([S]C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)=C1,O=C([O-])C1=CC=CC([S]C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)=C1,0.51,[S]C(C(F)(F)F)(C(F)(F)F)C(F)(F)F,1,0,1,-1,1
SC(CF3)3-p,O=C(O)C1=CC=C([S]C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)C=C1,O=C([O-])C1=CC=C([S]C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)C=C1,0.58,[S]C(C(F)(F)F)(C(F)(F)F)C(F)(F)F,2,0,1,-1,1
C(SCF3)3-m,O=C(O)C1=CC=CC([C](SC(F)(F)F)(SC(F)(F)F)SC(F)(F)F)=C1,O=C([O-])C1=CC=CC([C](SC(F)(F)F)(SC(F)(F)F)SC(F)(F)F)=C1,0.51,[C](SC(F)(F)F)(SC(F)(F)F)SC(F)(F)F,1,0,1,-1,1
C(SCF3)3-p,O=C(O)C1=CC=C([C](SC(F)(F)F)(SC(F)(F)F)SC(F)(F)F)C=C1,O=C([O-])C1=CC=C([C](SC(F)(F)F)(SC(F)(F)F)SC(F)(F)F)C=C1,0.53,[C](SC(F)(F)F)(SC(F)(F)F)SC(F)(F)F,2,0,1,-1,1
SeC(CF3)3-m,O=C(O)C1=CC=CC([Se]C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)=C1,O=C([O-])C1=CC=CC([Se]C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)=C1,0.49,[Se]C(C(F)(F)F)(C(F)(F)F)C(F)(F)F,1,0,1,-1,1
SeC(CF3)3-p,O=C(O)C1=CC=C([Se]C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)C=C1,O=C([O-])C1=CC=C([Se]C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)C=C1,0.54,[Se]C(C(F)(F)F)(C(F)(F)F)C(F)(F)F,2,0,1,-1,1
C(CN)3-m,O=C(O)C1=CC=CC([C](C#N)(C#N)C#N)=C1,O=C([O-])C1=CC=CC([C](C#N)(C#N)C#N)=C1,0.97,[C](C#N)(C#N)C#N,1,0,1,-1,1
C(CN)3-p,O=C(O)C1=CC=C([C](C#N)(C#N)C#N)C=C1,O=C([O-])C1=CC=C([C](C#N)(C#N)C#N)C=C1,0.96,[C](C#N)(C#N)C#N,2,0,1,-1,1
cyclo-1-(OH)C4F6-m,O=C(O)C1=CC=CC([C]1(C(C(C1(F)F)(F)F)(F)F)O)=C1,O=C([O-])C1=CC=CC([C]1(C(C(C1(F)F)(F)F)(F)F)O)=C1,0.36,[C]1(C(C(C1(F)F)(F)F)(F)F)O,1,0,1,-1,1
cyclo-1-(OH)C4F6-p,O=C(O)C1=CC=C([C]1(C(C(C1(F)F)(F)F)(F)F)O)C=C1,O=C([O-])C1=CC=C([C]1(C(C(C1(F)F)(F)F)(F)F)O)C=C1,0.37,[C]1(C(C(C1(F)F)(F)F)(F)F)O,2,0,1,-1,1
CH=C(CN)2-m,O=C(O)C1=CC=CC([CH]=C(C#N)C#N)=C1,O=C([O-])C1=CC=CC([CH]=C(C#N)C#N)=C1,0.66,[CH]=C(C#N)C#N,1,0,1,-1,1
CH=C(CN)2-p,O=C(O)C1=CC=C([CH]=C(C#N)C#N)C=C1,O=C([O-])C1=CC=C([CH]=C(C#N)C#N)C=C1,0.84,[CH]=C(C#N)C#N,2,0,1,-1,1
327-m,O=C(O)C1=CC=CC([N]1C(=O)C=CC1=O)=C1,O=C([O-])C1=CC=CC([N]1C(=O)C=CC1=O)=C1,0.33,[N]1C(=O)C=CC1=O,1,0,1,-1,1
327-p,O=C(O)C1=CC=C([N]1C(=O)C=CC1=O)C=C1,O=C([O-])C1=CC=C([N]1C(=O)C=CC1=O)C=C1,0.27,[N]1C(=O)C=CC1=O,2,0,1,-1,1
"3-chloro-1-pyrroline-2,5-dione-m",O=C(O)C1=CC=CC([N]1C(=O)C(=CC1=O)Cl)=C1,O=C([O-])C1=CC=CC([N]1C(=O)C(=CC1=O)Cl)=C1,0.47,[N]1C(=O)C(=CC1=O)Cl,1,0,1,-1,1
"3-chloro-1-pyrroline-2,5-dione-p",O=C(O)C1=CC=C([N]1C(=O)C(=CC1=O)Cl)C=C1,O=C([O-])C1=CC=C([N]1C(=O)C(=CC1=O)Cl)C=C1,0.46,[N]1C(=O)C(=CC1=O)Cl,2,0,1,-1,1
3-pyridainyl-m,O=C(O)C1=CC=CC([c]2cccnn2)=C1,O=C([O-])C1=CC=CC([c]2cccnn2)=C1,0.28,[c]1cccnn1,1,0,1,-1,1
3-pyridainyl-p,O=C(O)C1=CC=C([c]2cccnn2)C=C1,O=C([O-])C1=CC=C([c]2cccnn2)C=C1,0.48,[c]1cccnn1,2,0,1,-1,1
"3,4-CH=CHCH=CH- -m",O=C(O)C1=CC=CC([CH]=CC=C)=C1,O=C([O-])C1=CC=CC([CH]=CC=C)=C1,0.04,[CH]=CC=C,1,0,1,-1,1
"3,4-CH=CHCH=CH- -p",O=C(O)C1=CC=C([CH]=CC=C)C=C1,O=C([O-])C1=CC=C([CH]=CC=C)C=C1,0.04,[CH]=CC=C,2,0,1,-1,1
C(Me)(CN2)2-m,O=C(O)C1=CC=CC([C](C)(C#N)C#N)=C1,O=C([O-])C1=CC=CC([C](C)(C#N)C#N)=C1,0.6,[C](C)(C#N)C#N,1,0,1,-1,1
C(Me)(CN2)2-p,O=C(O)C1=CC=C([C](C)(C#N)C#N)C=C1,O=C([O-])C1=CC=C([C](C)(C#N)C#N)C=C1,0.57,[C](C)(C#N)C#N,2,0,1,-1,1
4-pyrimidinyl-m,O=C(O)C1=CC=CC([c]2ccncn2)=C1,O=C([O-])C1=CC=CC([c]2ccncn2)=C1,0.3,[c]1ccncn1,1,0,1,-1,1
4-pyrimidinyl-p,O=C(O)C1=CC=C([c]2ccncn2)C=C1,O=C([O-])C1=CC=C([c]2ccncn2)C=C1,0.63,[c]1ccncn1,2,0,1,-1,1
2-pyrimidinyl-m,O=C(O)C1=CC=CC([c]2ncccn2)=C1,O=C([O-])C1=CC=CC([c]2ncccn2)=C1,0.23,[c]1ncccn1,1,0,1,-1,1
2-pyrimidinyl-p,O=C(O)C1=CC=C([c]2ncccn2)C=C1,O=C([O-])C1=CC=C([c]2ncccn2)C=C1,0.53,[c]1ncccn1,2,0,1,-1,1
5-pyrimidinyl-m,O=C(O)C1=CC=CC([c]2cncnc2)=C1,O=C([O-])C1=CC=CC([c]2cncnc2)=C1,0.28,[c]1cncnc1,1,0,1,-1,1
5-pyrimidinyl-p,O=C(O)C1=CC=C([c]2cncnc2)C=C1,O=C([O-])C1=CC=C([c]2cncnc2)C=C1,0.39,[c]1cncnc1,2,0,1,-1,1
2-furyl-m,O=C(O)C1=CC=CC([c]2ccco2)=C1,O=C([O-])C1=CC=CC([c]2ccco2)=C1,0.06,[c]1ccco1,1,0,1,-1,1
2-furyl-p,O=C(O)C1=CC=C([c]2ccco2)C=C1,O=C([O-])C1=CC=C([c]2ccco2)C=C1,0.02,[c]1ccco1,2,0,1,-1,1
2-thienyl-m,O=C(O)C1=CC=CC([c]c2ccs2)=C1,O=C([O-])C1=CC=CC([c]c2ccs2)=C1,0.09,[c]1cccs1,1,0,1,-1,1
2-thienyl-p,O=C(O)C1=CC=C([c]2cccs2)C=C1,O=C([O-])C1=CC=C([c]2cccs2)C=C1,0.05,[c]1cccs1,2,0,1,-1,1
3-thienyl-m,O=C(O)C1=CC=CC([c]2ccsc2)=C1,O=C([O-])C1=CC=CC([c]2ccsc2)=C1,0.03,[c]1ccsc1,1,0,1,-1,1
3-thienyl-p,O=C(O)C1=CC=C([c]2ccsc2)C=C1,O=C([O-])C1=CC=C([c]2ccsc2)C=C1,-0.02,[c]1ccsc1,2,0,1,-1,1
2-selenienyl-m,O=C(O)C1=CC=CC([c]2ccc[se]2)=C1,O=C([O-])C1=CC=CC([c]2ccc[se]2)=C1,0.06,[c]1ccc[se]1,1,0,1,-1,1
2-selenienyl-p,O=C(O)C1=CC=C([c]2ccc[se]2)C=C1,O=C([O-])C1=CC=C([c]2ccc[se]2)C=C1,0.04,[c]1ccc[se]1,2,0,1,-1,1
2-tellurienyl-m,O=C(O)C1=CC=CC([C]2=CC=C[Te]2)=C1,O=C([O-])C1=CC=CC([C]2=CC=C[Te]2)=C1,0.06,[C]1=CC=C[Te]1,1,0,1,-1,1
2-tellurienyl-p,O=C(O)C1=CC=C([C]2=CC=C[Te]2)C=C1,O=C([O-])C1=CC=C([C]2=CC=C[Te]2)C=C1,0.03,[C]1=CC=C[Te]1,2,0,1,-1,1
1-pyrryl-m,O=C(O)C1=CC=CC([n]2cccc2)=C1,O=C([O-])C1=CC=CC([n]2cccc2)=C1,0.47,[n]1cccc1,1,0,1,-1,1
1-pyrryl-p,O=C(O)C1=CC=C([n]2cccc2)C=C1,O=C([O-])C1=CC=C([n]2cccc2)C=C1,0.37,[n]1cccc1,2,0,1,-1,1
"1-pyrroline-2,5-dione-m",O=C(O)C1=CC=CC([N]2C(=O)CCC2=O)=C1,O=C([O-])C1=CC=CC([N]2C(=O)CCC2=O)=C1,0.34,[N]1C(=O)CCC1=O,1,0,1,-1,1
"1-pyrroline-2,5-dione-p",O=C(O)C1=CC=C([N]2C(=O)CCC2=O)C=C1,O=C([O-])C1=CC=C([N]2C(=O)CCC2=O)C=C1,0.31,[N]1C(=O)CCC1=O,2,0,1,-1,1
CH=CHCOMe-m,O=C(O)C1=CC=CC([CH]=CC(=O)C)=C1,O=C([O-])C1=CC=CC([CH]=CC(=O)C)=C1,0.21,[CH]=CC(=O)C,1,0,1,-1,1
CH=CHCOMe-p,O=C(O)C1=CC=C([CH]=CC(=O)C)C=C1,O=C([O-])C1=CC=C([CH]=CC(=O)C)C=C1,-0.01,[CH]=CC(=O)C,2,0,1,-1,1
I(OCOMe)2-m,O=C(O)C1=CC=CC([I](OC(=O)C)OC(=O)C)=C1,O=C([O-])C1=CC=CC([I](OC(=O)C)OC(=O)C)=C1,0.85,[I](OC(=O)C)OC(=O)C,1,0,1,-1,1
I(OCOMe)2-p,O=C(O)C1=CC=C([I](OC(=O)C)OC(=O)C)C=C1,O=C([O-])C1=CC=C([I](OC(=O)C)OC(=O)C)C=C1,0.88,[I](OC(=O)C)OC(=O)C,2,0,1,-1,1
N(COMe)2-m,O=C(O)C1=CC=CC([N](C(=O)C)C(=O)C)=C1,O=C([O-])C1=CC=CC([N](C(=O)C)C(=O)C)=C1,0.35,[N](C(=O)C)C(=O)C,1,0,1,-1,1
N(COMe)2-p,O=C(O)C1=CC=C([N](C(=O)C)C(=O)C)C=C1,O=C([O-])C1=CC=C([N](C(=O)C)C(=O)C)C=C1,0.33,[N](C(=O)C)C(=O)C,2,0,1,-1,1
COCHMe2-m,O=C(O)C1=CC=CC([C](=O)C(C)C)=C1,O=C([O-])C1=CC=CC([C](=O)C(C)C)=C1,0.38,[C](=O)C(C)C,1,0,1,-1,1
COCHMe2-p,O=C(O)C1=CC=C([C](=O)C(C)C)C=C1,O=C([O-])C1=CC=C([C](=O)C(C)C)C=C1,0.47,[C](=O)C(C)C,2,0,1,-1,1
NHCOCH(Me)2-m,O=C(O)C1=CC=CC([NH]C(=O)C(C)C)=C1,O=C([O-])C1=CC=CC([NH]C(=O)C(C)C)=C1,0.11,[NH]C(=O)C(C)C,1,0,1,-1,1
NHCOCH(Me)2-p,O=C(O)C1=CC=C([NH]C(=O)C(C)C)C=C1,O=C([O-])C1=CC=C([NH]C(=O)C(C)C)C=C1,-0.1,[NH]C(=O)C(C)C,2,0,1,-1,1
C(Me)3-m,O=C(O)C1=CC=CC([C](C)(C)C)=C1,O=C([O-])C1=CC=CC([C](C)(C)C)=C1,-0.1,[C](C)(C)C,1,0,1,-1,1
C(Me)3-p,O=C(O)C1=CC=C([C](C)(C)C)C=C1,O=C([O-])C1=CC=C([C](C)(C)C)C=C1,-0.2,[C](C)(C)C,2,0,1,-1,1
CH(Me)Et-m,O=C(O)C1=CC=CC([CH](C)CC)=C1,O=C([O-])C1=CC=CC([CH](C)CC)=C1,-0.08,[CH](C)CC,1,0,1,-1,1
CH(Me)Et-p,O=C(O)C1=CC=C([CH](C)CC)C=C1,O=C([O-])C1=CC=C([CH](C)CC)C=C1,-0.12,[CH](C)CC,2,0,1,-1,1
CH2CH(Me)2-m,O=C(O)C1=CC=CC([CH2]C(C)C)=C1,O=C([O-])C1=CC=CC([CH2]C(C)C)=C1,-0.07,[CH2]C(C)C,1,0,1,-1,1
CH2CH(Me)2-p,O=C(O)C1=CC=C([CH2]C(C)C)C=C1,O=C([O-])C1=CC=C([CH2]C(C)C)C=C1,-0.12,[CH2]C(C)C,2,0,1,-1,1
(CH2)3CH3-m,O=C(O)C1=CC=CC([CH2]CCC)=C1,O=C([O-])C1=CC=CC([CH2]CCC)=C1,-0.08,[CH2]CCC,1,0,1,-1,1
(CH2)3CH3-p,O=C(O)C1=CC=C([CH2]CCC)C=C1,O=C([O-])C1=CC=C([CH2]CCC)C=C1,-0.16,[CH2]CCC,2,0,1,-1,1
O(CH2)3CH3-m,O=C(O)C1=CC=CC([O]CCCC)=C1,O=C([O-])C1=CC=CC([O]CCCC)=C1,0.1,[O]CCCC,1,0,1,-1,1
O(CH2)3CH3-p,O=C(O)C1=CC=C([O]CCCC)C=C1,O=C([O-])C1=CC=C([O]CCCC)C=C1,-0.32,[O]CCCC,2,0,1,-1,1
CH2C(OH)Me2-m,O=C(O)C1=CC=CC([CH2]C(C)(C)O)=C1,O=C([O-])C1=CC=CC([CH2]C(C)(C)O)=C1,-0.16,[CH2]C(C)(C)O,1,0,1,-1,1
CH2C(OH)Me2-p,O=C(O)C1=CC=C([CH2]C(C)(C)O)C=C1,O=C([O-])C1=CC=C([CH2]C(C)(C)O)C=C1,-0.17,[CH2]C(C)(C)O,2,0,1,-1,1
C(OMe)3-m,O=C(O)C1=CC=CC([C](OC)(OC)OC)=C1,O=C([O-])C1=CC=CC([C](OC)(OC)OC)=C1,-0.03,[C](OC)(OC)OC,1,0,1,-1,1
C(OMe)3-p,O=C(O)C1=CC=C([C](OC)(OC)OC)C=C1,O=C([O-])C1=CC=C([C](OC)(OC)OC)C=C1,-0.04,[C](OC)(OC)OC,2,0,1,-1,1
AsEt2-m,O=C(O)C1=CC=CC([As](CC)CC)=C1,O=C([O-])C1=CC=CC([As](CC)CC)=C1,0.22,[As](CC)CC,1,0,1,-1,1
AsEt2-p,O=C(O)C1=CC=C([As](CC)CC)C=C1,O=C([O-])C1=CC=C([As](CC)CC)C=C1,0,[As](CC)CC,2,0,1,-1,1
As(O)Et2-m,O=C(O)C1=CC=CC([AsH](O)(CC)CC)=C1,O=C([O-])C1=CC=CC([AsH](O)(CC)CC)=C1,0.57,[AsH](O)(CC)CC,1,0,1,-1,1
As(O)Et2-p,O=C(O)C1=CC=C([AsH](O)(CC)CC)C=C1,O=C([O-])C1=CC=C([AsH](O)(CC)CC)C=C1,0.44,[AsH](O)(CC)CC,2,0,1,-1,1
As(S)Et2-m,O=C(O)C1=CC=CC([AsH](S)(CC)CC)=C1,O=C([O-])C1=CC=CC([AsH](S)(CC)CC)=C1,0.52,[AsH](S)(CC)CC,1,0,1,-1,1
As(S)Et2-p,O=C(O)C1=CC=C([AsH](S)(CC)CC)C=C1,O=C([O-])C1=CC=C([AsH](S)(CC)CC)C=C1,0.44,[AsH](S)(CC)CC,2,0,1,-1,1
NH(CH2)3CH3-m,O=C(O)C1=CC=CC([NH]CCCC)=C1,O=C([O-])C1=CC=CC([NH]CCCC)=C1,-0.34,[NH]CCCC,1,0,1,-1,1
NH(CH2)3CH3-p,O=C(O)C1=CC=C([NH]CCCC)C=C1,O=C([O-])C1=CC=C([NH]CCCC)C=C1,-0.51,[NH]CCCC,2,0,1,-1,1
N(Et)2-m,O=C(O)C1=CC=CC([N](CC)CC)=C1,O=C([O-])C1=CC=CC([N](CC)CC)=C1,-0.23,[N](CC)CC,1,0,1,-1,1
N(Et)2-p,O=C(O)C1=CC=C([N](CC)CC)C=C1,O=C([O-])C1=CC=C([N](CC)CC)C=C1,-0.72,[N](CC)CC,2,0,1,-1,1
PO(Et)2-m,O=C(O)C1=CC=CC([P](=O)(CC)CC)=C1,O=C([O-])C1=CC=CC([P](=O)(CC)CC)=C1,0.37,[P](=O)(CC)CC,1,0,1,-1,1
PO(Et)2-p,O=C(O)C1=CC=C([P](=O)(CC)CC)C=C1,O=C([O-])C1=CC=C([P](=O)(CC)CC)C=C1,0.47,[P](=O)(CC)CC,2,0,1,-1,1
